title	full_name	birthplace	career_start	career_end	draft	draft_year	draft_team	current_league	national_team	current_team	nationality	date_of_birth	sex
Phillip Bruggisser	Phillip Bruggisser	Rødovre, Denmark	2009					Deutsche Eishockey Liga	Denmark	Fischtown Pinguins	Danish		
Emil Kristensen	Emil Løjborg Kristensen	Esbjerg, Denmark	2010					ICE Hockey League	Denmark	HC Pustertal Wölfe	Danish		
Benjamin Dieudé-Fauvel	Benjamin Dieudé-Fauvel	Bordeaux, France	2005	2018	Undrafted				France		French		
Amber Bowman	Amber Bowman	,	2007	2013							Canadian		
Diego Iori	Diego Iori	Cavalese, Italy	2003					Serie A (ice hockey)	Italy	HC Fassa	Ital		
Roland Hofer	Roland Hofer	Sterzing, Italy	2006					Alps Hockey League	Italy	HC Pustertal Wölfe	Italian		
Marco Insam	Marco Insam	Sëlva, Italy	2006		Undrafted			Alps Hockey League	Italy	Ritten Sport	Italian		
Derek Edwardson	Derek Edwardson	Morton Grove, Illinois, U.S.	2004	2013	Undrafted				Italy		American		
Luca Felicetti	Luca Felicetti	Cavalese, Italy	1997	2019				Serie A (ice hockey)	Italy		Italian		
Rob Sirianni	Robert Sirianni	Edmonton, Canada	2000		Undrafted			Elite.A	Italy				
Dumitru Axinte	Dumitru Axinte	Bucharest, Socialist Republic of Romania	1971	1983	Undrafted				ROM				
Marian Costea	Marian Costea	Bucharest, Socialist Republic of Romania	1971	1981	Undrafted				ROM				
Mariève Provost	Mariève Provost	, Quebec	2006	2015					Canada		Canadian		f
Brian Ihnačák	Brian Stephen Ihnacak	Toronto, Canada	2007	2024	259th overall	2004	Pittsburgh Penguins		Italy		Canadian		
Andrei Korabeinikov	Andrei Viktorovich Korabeinikov	Ust-Kamenogorsk, &lt;br&gt;Kazakh Soviet Socialist Republic	2003		Undrafted			Supreme Hockey League	Kazakhstan	Dizel Penza	Kazakhstani		
Benjamin Plüss	Benjamin Plüss	Bülach, Switzerland	1998	2016					Switzerland		Swiss		
Denis Hollenstein	Denis Hollenstein	Zürich, Switzerland	2006		Undrafted			National League (ice hockey)	SUI	ZSC Lions	Swiss		
Lukas Flüeler	Lukas Flüeler	Kloten, Switzerland	2005	2022	Undrafted				Switzerland		Swiss		
Bernie Federko	Bernard Allan Federko	Foam Lake, Canada	1976	1990	7th overall	1976	St. Louis Blues				Canadian		
Garnet Bailey	Garnet Edward	Lloydminster, Canada	1968	1979	13th overall	1966	Boston Bruins						
Kyle Wilson (ice hockey)	Kyle Wilson	Oakville, Ontario, Canada	2006	2017	272nd overall	2004	Minnesota Wild				Canadian		
Ryan Stoa	Ryan James Stoa	Bloomington, Minnesota, U.S.	2009		34th overall	2005	Colorado Avalanche	&lt;!--Deutsche Eishockey Liga	United States	Free agent	American		
Justin Mercier	Justin L. Mercier	Erie, Pennsylvania, U.S.	2009	2016	168th overall	2005	Colorado Avalanche				American		
Corey Elkins	Corey Alan Elkins	, Michigan	2009	2020	Undrafted						American		
Patrice Cormier	Patrice Victor Cormier	Cap-Pelé, New Brunswick, Canada	2010		54th overall	2008	New Jersey Devils	Deutsche Eishockey Liga		Eisbären Berlin	Canadian		
Maxime Fortunus	Maxime Fortunus	La Prairie, Quebec, Canada	2003	2021	Undrafted		}}				Canadian		
Anton Rödin	Anton Rödin	Stockholm, Sweden	2008		53rd overall	2009	Vancouver Canucks	Swedish Hockey League	&lt;!--Senior caps only--&gt;	Brynäs IF	Swedish		
Maximilian Dimitrovici	Maximilian Siegfried Franz Dimitrovici	Erfurt, East Germany	2004	2019				Turkish Ice Hockey Super League		Zeytinburnu Belediyespor			
Lou Bates	John Louis Bates	Ottawa, Canada	1934	1940									
Chris Harrington (ice hockey)	Chris Harrington	, Minnesota	2006	2013			}}				American		
George Beach	George Beach	, Saskatchewan	1945	1967									
Spencer Stastney	Spencer Charles Stastney	Mequon, Wisconsin, U.S.	2022		131st overall	2018	Nashville Predators	National Hockey League	&lt;!--Senior IIHF only--&gt;	Nashville Predators	American		
Mike Lee (ice hockey, born 1996)	Michael Lee	, Connecticut	2020		Undrafted			Tipos Extraliga		HC Nové Zámky	American		
Vladislav Kolyachonok	Vladislav Anatolevich Kolyachonok	Minsk, Belarus	2020		52nd overall	2019	Florida Panthers	National Hockey League	Belarus	Dallas Stars	Belarusian		
Michael Carcone	Michael Carcone	Ajax, Ontario, Canada	2016		Undrafted			National Hockey League	CAN	Utah Mammoth	Canadian		
Joseph Stubbs (ice hockey)	1920 Intercollegiate Championship	, Massachusetts											
Ryan Stewart (ice hockey)	Ryan Stewart	Kelowna, Canada	1982	1993	18th overall	1985	Winnipeg Jets (1972–96)				Canadian		
Greg Mauldin	Gregory M. Mauldin	, Massachusetts			199th overall	2002	Columbus Blue Jackets			Free agent	American		
Johan Halvardsson	Johan Halvardsson	Jönköping, Sweden	1998	2009	102nd overall	1999	New York Islanders						
Jonathan Girard	Jonathan Girard	, Quebec	1998	2005	48th overall	1998	Boston Bruins				Canadian		
Butch McDonald	Byron Russell &quot;Butch&quot; McDonald	, Saskatchewan	1934	1951									
Sammy Hebert	Samuel James Hebert	Ottawa, Canada	1913	1924									
Dave Ritchie (ice hockey)	[[National Hockey League|NHL]]	Montreal, Canada	1914	1926									
Bert Lindsay	Leslie Bertrand Lindsay	, Centre Wellington	1903	1919									
Cully Wilson	Carol William	Winnipeg, Canada	1910	1932									
George Prodgers	Samuel George &quot;Goldie&quot; Prodgers	London, Ontario, Canada	1908	1925									
Joe Matte (ice hockey, born 1893)	Louis Joseph Alexandre Matte	Bourget, Ontario, Canada	1913	1926									
Howie Lockhart	Howard Bond Lockhart	, Ontario	1916	1925									
Ivan Mitchell	Ivan Gladstone &quot;Mike&quot; Mitchell	Winnipeg, Canada	1914	1922									
Frank Heffernan	James Francis Heffernan	Peterborough, Ontario, Canada	1912	1920									
Jack McDonald (ice hockey, born 1887)	[[National Hockey League|NHL]]	Quebec City, Canada	1917	1922									
Paddy Nolan (ice hockey)	James Patrick Nolan	Glace Bay, Canada	1915	1931									
Gerry Denoird	Gerald Denoird	Toronto, Canada	1922	1925									
Amos Arbour	Joseph Amos Hermas &quot;Butch&quot; Arbour	, Ontario	1915	1924									
Wilf Loughlin	John Wilfred Loughlin	, Canada	1915	1927									
Darcia Leimgruber	Darcia Leimgruber	, Switzerland	2007					Switzerland women's ice hockey league	Switzerland	SC Reinach Damen	Swiss		f
Mike Prpich	Mike Prpich	, Saskatchewan	2006		Undrafted		}}	Austrian Hockey League		KHL Medveščak	Canadian		
Hilary Witt	Hilary Witt												
Laura Schuler	Laura Lynne Schuler	, Toronto									Canadian		
Andy Sertich	Andy Sertich	, Minnesota	2006	2017	136th overall	2002	Pittsburgh Penguins		Croatia				
Sonny Mignacca	[[Western Professional Hockey League|WPHL]]	Winnipeg, Manitoba	1994	2000	213 overall	1992	Vancouver Canucks				Canadian		
Pierre-Luc Létourneau-Leblond	Pierre-Luc Létourneau-Leblond	, Quebec	2005	2023	216th overall	2004	New Jersey Devils				Canadian		
Brad Staubitz	Bradley Michael Staubitz	, Alberta	2005	2015	Undrafted								
Mia Bau Hansen	Mia Bau Hansen	Rødovre, Denmark	2013					Damettan	DEN	Malmö Redhawks Dam	Danish		f
Victor Berglund	Victor Berglund	Örnsköldsvik, Sweden	2016		195th overall	2017	Boston Bruins	HockeyAllsvenskan		MoDo Hockey	Swedish		
Zac Leslie	Zachary Leslie	Ottawa, Canada	2015		178th overall	2013	Los Angeles Kings	Deutsche Eishockey Liga		Adler Mannheim	Canadian		
Eric Heffler	Eric Heffler	, New York	1995	2002			}}				American		
Colby Williams	Colby Williams	, Saskatchewan	2016		173rd overall	2015	Washington Capitals	Kontinental Hockey League		HC CSKA Moscow	Canadian		
Jayme Filipowicz	Jayme M. Filipowicz	, Illinois	1996	2006			}}				American		
Joe Blackburn	Joseph Blackburn	, Michigan	1997	2001							American		
Walker Duehr	Walker Duehr	Sioux Falls, South Dakota, U.S.	2021		Undrafted			National Hockey League		Winnipeg Jets	American		
Martin Johansson (ice hockey, born 1977)	Martin Johansson	Ängelholm, Sweden	1996	2011				Swedish 2nd Division		Jonstorps IF	Swedish		
Gordon Poirier	Gordon Arthur Poirier	, Saskatchewan	1931	1951									
Tim Ramholt	Tim Ramholt	Zurich, Switzerland	2001	2018	39th overall	2003	Calgary Flames	National League (ice hockey)	SUI		Swiss		
John Murray (ice hockey, born 1923)	John Cyril Mole &quot;Johnny&quot; Murray	Hampstead, England						English National League		Wembley Lions			
Scott Neil	Andrew Scott Neil	Edinburgh, Scotland	1985	2002					GBR				
Adam Pardy	Adam Pardy	Bonavista, Newfoundland, Canada	2005	2019	173rd overall	2004	Calgary Flames				Canadian		
Derek Reilly	Derek Reilly	,	1964	1984					GBR				
Clarence Rost	Clarence Rost	Winnipeg, Canada	1935	1958									
John Rost	John Rost	, England	1962	1982									
Roy Shepherd	Roy Walter William Shepherd	, London	1951	1978									
Floyd Snider	Floyd Snider	, Ontario	1946	1954									
Jimmy Spence	James Davis Spence	Edinburgh, Scotland	1950	1973					GBR				
George McNeil (ice hockey)	George &quot;Chummy&quot; McNeil	Nova Scotia, Canada		1940									
Alfie Miller	Alfred &quot;Alfie&quot; Miller	Whitley Bay, England	1976	1992					GBR				
Bill Sweeney (ice hockey)	William Sweeney	Guelph, Canada	1957	1970									
Topi Niemelä	Topi Niemelä	Oulu, Finland	2019		64th overall	2020	Toronto Maple Leafs	Swedish Hockey League		Malmö Redhawks	Finnish		
Eemil Viro	Eemil Viro	Vantaa, Finland	2019		70th overall	2020	Detroit Red Wings	Swedish Hockey League		Malmö Redhawks	Finnish		
Jan Myšák	Jan Myšák	Litvínov, Czech Republic	2018		48th overall	2020	Montreal Canadiens	National Hockey League		Anaheim Ducks	Czech		
Linn Peterson	Linn Peterson	Mariestad, Sweden	2009					Swedish Women's Hockey League	SWE	Luleå HF/MSSK	Swedish		f
Dan Stauber	"&lt;br&gt;2006 NCHA tournament champion&lt;br&gt;2009 NCHA champion
| awards             = 2002 [[Edward Jeremiah Award]]
| coaching_records   = 
}}"	, Minnesota									American		
Keely Moy	Keely Moy	San Diego, U.S.	2017					Hockey East	Switzerland	Harvard Crimson women's ice hockey	Swiss		f
Guan Yingying	Guan Yingying	Shulan, China						Chinese Women's Ice Hockey League	CHN	Qiqihar Landi	Chinese		f
Anna Fairman	Anna Fairman	Troy, Michigan, United States	2019					NCAA Division I	CHN	LIU Sharks women's ice hockey			f
Rebekah Kolstad	Rebekah “Becky” Kolstad	Mankato, Minnesota, US	2015					Zhenskaya Hockey League	CHN	Shenzhen KRS Vanke Rays			f
Tia Chan	Tia Chan	, Ontario	2020					NCAA Division I	CHN	UConn Huskies women's ice hockey			f
Polina Bolgareva	Polina Pavlovna Bolgareva	Balashikha, Russia	2016					Zhenskaya Hockey League	RUS	Dinamo-Neva Saint Petersburg	Russian		f
Nathan Smith (ice hockey, born 1998)	Nathan Smith	Tampa, Florida, U.S.	2022		91st overall	2018	Winnipeg Jets	National Hockey League	USA	Free agent	American		
Oldřich Horák	Oldřich Horák	Zlín, Czechoslovakia	2009							Free agent	Czech		
Gavin McKenna	Gavin McKenna	Whitehorse, Canada			''Eligible [[2026 NHL entry draft			National Collegiate Athletic Association		Penn State Nittany Lions men's ice hockey	Canadian		
Jayden Struble	Jayden Struble	Cumberland, Rhode Island, U.S.	2023		46th overall	2019	Montreal Canadiens	National Hockey League	&lt;!--Senior IIHF only--&gt;	Montreal Canadiens	American		
Maxence Guenette	Maxence Guenette	L'Ancienne-Lorette, Canada	2021		187th overall	2019	Ottawa Senators	National Hockey League		Ottawa Senators	Canadian		
Jérôme Samson	Jérôme Samson	Greenfield Park, Quebec, Canada	2007	2018	Undrafted						Canadian		
Evan Oberg	Evan Oberg	, Alberta	2009	2019	Undrafted			Allan Cup Hockey West		Lacombe Generals	Canadian		
John McCarthy (ice hockey)	John McCarthy	Boston, Massachusetts, U.S.	2009	2019	202nd overall	2006	San Jose Sharks		United States		American		
Shin Sang-woo (ice hockey)	Sin Sang-woo	Seoul, South Korea	2010					Asia League Ice Hockey	South Korea	Anyang Halla	South Korean		
Alexander Bonsaksen	Alexander Bonsaksen	Oslo, Norway	2005					Eliteserien (ice hockey)	NOR	Frisk Asker Ishockey	Norwegian		
Juha Kaunismäki	Juha Pekka Kaunismäki	Helsinki, Finland	2000	2013					NOR		Finnish		
Martin Laumann Ylven	Martin Laumann Ylven	Oslo, Norway	2006	2019	Undrafted			GET-ligaen	NOR	Vålerenga Ishockey	Norwegian		
Raphael Diaz	Raphael Salvador Diaz	, Switzerland	2003		Undrafted			National League (ice hockey)	SUI	HC Fribourg-Gottéron	Swiss		
Roman Josi	Roman Josi	Bern, Switzerland	2007		38th overall	2008	Nashville Predators	National Hockey League	SUI	Nashville Predators	Swiss		
Mathias Seger	Mathias Seger	Flawil, Switzerland	1996	2018				National League (ice hockey)	SUI		Swiss		
Thomas Déruns	Thomas Déruns	La Chaux-de-Fonds, Switzerland	2000	2017					SUI		Swiss		
André Lysenstøen	André Lysenstøen	Oslo, Norway	2004	2012					NOR		Norwegian		
Ruben Smith	Ruben Smith	Stavanger, Norway	2005	2017	Undrafted				NOR				
Petr Tenkrát	Petr Tenkrát	Děčín, Czechoslovakia	1995	2017	230th overall	1999	Anaheim Ducks	Czech Extraliga	CZE	HC Sparta Praha	Czech		
Jesper Mattsson (ice hockey)	Jesper Mattsson	Malmö, Sweden	1991		18th overall	1993	Calgary Flames						
Esa Pirnes	Esa Lasse Juhani Pirnes	Oulu, Finland	1995	2016	174th overall	2003	Los Angeles Kings		Finland		Finnish		
Marcus Weinstock	Marcus Weinstock	Varberg, Sweden	2003	2020							Swedish		
Lori Dupuis	Lori Dupuis	, Ontario	1995	2002					CAN		Canadian		f
Christian Söderström	Christian Söderström	Sundsvall, Sweden	2000	2016	262nd overall	2002	Detroit Red Wings	HockeyAllsvenskan	SWE	IF Sundsvall Hockey	Swedish		
Andre Faust	André A. Faust	, Joliette	1992	2004	173rd overall	1989	New Jersey Devils				Canadian		
Robin Jonsson	Robin Jonsson	, Upplands Väsby Municipality	2001	2015	120th overall	2002	St. Louis Blues	Swedish Hockey League			Swedish		
Neil Stevenson-Moore	Neil Stevenson-Moore	, North Vancouver (district municipality)	2005	2006	Undrafted			EIHL			forward		
Craig Ludwig	Craig Lee Ludwig	, Wisconsin	1982	1999	61st overall	1980	Montreal Canadiens		USA		American		
Pär Bäcker	Pär Bäcker	Grums, Sweden	1998	2010	187th overall	2000	Detroit Red Wings	Oddset Ligaen		AaB Ishockey	Swedish		
Pelle Prestberg	Pelle Per-Erik Lennart Prestberg	Munkfors, Sweden	1997	2014	233rd overall	1998	Anaheim Ducks		Sweden		Swedish		
Calle Steen	Calle Erik Steén	Stockholm, Sweden	1997	2009	142nd overall	1998	Detroit Red Wings	HockeyAllsvenskan		Malmö Redhawks	Swedish		
Pat Boutette	Patrick Michael Boutette	, Ontario	1970	1985	139th overall	1972	Toronto Maple Leafs		Canada		Canadian		
Ernie Hartlieb	[[American Hockey League|AHL]]	Warren, Michigan, Michigan	2000	2012				ECHL		Florida Everblades	American		
Mel Wakabayashi	Hitoshi	Slocan, British Columbia, Canada	1967	1978									
Wally Gacek	Walter Frank Gacek												
Gordon McMillan	Gordon Warner &quot;Gymie&quot; McMillan												
David Schlemko	David Schlemko	, Alberta	2007	2019	Undrafted						Canadian		
Barrett Hayton	Barrett Hayton	, Ontario	2019		5th overall	2018	Arizona Coyotes	National Hockey League	CAN	Utah Mammoth	Canadian		
Lindsay Grigg	Lindsay Grigg	North York, Canada&lt;ref name=&quot;rit_bio&quot;/&gt;	2011	2018							Canadian		
Isac Lundeström	Isac Lundeström	Gällivare, Sweden	2016		23rd overall	2018	Anaheim Ducks	National Hockey League	SWE	Columbus Blue Jackets	Swedish		
Kori Cheverie	Kori Cheverie	New Glasgow, Nova Scotia, Canada									Canadian		
Alex Rašner	Alex Rašner	Jeseník, Czech Republic	2012					Czech Extraliga		HC Olomouc	Czech		
Jan Ščotka	Jan Ščotka	Vsetín, Czech Republic	2012					Czech Extraliga		HC Kometa Brno	Czech		
Marek Zachar	Marek Zachar	Liberec, Czech Republic	2015					Quebec Major Junior Hockey League		Sherbrooke Phoenix	Czech		
Danton Heinen	Danton Heinen	, British Columbia (city)	2016		116th overall	2014	Boston Bruins	National Hockey League		Pittsburgh Penguins	Canadian		
Blake Speers	Blake Speers	Sault Ste. Marie, Ontario, Canada	2016		67th overall	2015	New Jersey Devils			Free Agent	Canadian		
Miro Karjalainen	Miro Karjalainen	, Nummela (Vihti)	2015		135th overall	2014	Dallas Stars	Liiga		HIFK (ice hockey)	Finnish		
Oleksei Voytsekhovsky	Oleksii Vitaliiovych Voitsekhovskyi	Kyiv, Ukrainian Soviet Socialist Republic	2002					Turkish Ice Hockey Super League		Zeytinburnu Belediyespor	Ukrainian		
Martin Čech	Martin Čech	Havlíčkův Brod, Czechoslovakia	1993	2007	Undrafted				Czech Republic				
Bruce Bullock	Bruce John Bullock	Toronto, Canada	1972	1977	''Undrafted''						Canadian		
Jimmy Roy	Jimmy Roy	Sioux Lookout, Canada	1997	2011	254th overall	1994	Dallas Stars						
Byron Bitz	Byron John Bitz	Saskatoon, Canada	2007	2012	107th overall	2003	Boston Bruins				Canadian		
Mikhail Stefanovich	Mikhail Igoravich Stefanovich	Minsk, Byelorussian Soviet Socialist Republic	2006		98th overall	2008	Toronto Maple Leafs	Belarusian Extraliga	Belarus	HC Shakhtyor Soligorsk	Belarusian		
Michel Archambault	Michel Joseph Archambault	Saint-Hyacinthe, Quebec, Quebec	1970	1978	28th overall	1970	Chicago Black Hawks						
Mikko Niemi (ice hockey)	Mikko Niemi	Tampere, Finland	1992	2006									
Simon Gamache	Simon Gamache	Thetford Mines, Quebec, Canada	2001	2017	290th overall	2000	Atlanta Thrashers				Canadian		
Josef Melichar	Josef Melichar IV	České Budějovice, Czechoslovakia	1999	2011	71st overall	1997	Pittsburgh Penguins				Czech		
Daniel Henriksson	Daniel Henriksson	Övertorneå, Sweden	1997	2009					Sweden				
Craig Wolanin	Craig William Wolanin	, Michigan	1985	1999	3rd overall	1985	New Jersey Devils		USA		American		
Doug Sulliman	Simon Douglas Sulliman	, Nova Scotia	1979	1990	13th overall	1979	New York Rangers				Canadian		
Doug Shedden	Douglas Arthur Shedden	, Wallaceburg	1981	1993	93rd overall	1980	Pittsburgh Penguins	National Hockey League			Canadian		
Ron Sedlbauer	Ronald Andrew Sedlbauer	Burlington, Ontario, Canada	1974	1981	23rd overall	1974	Vancouver Canucks	National Hockey League					
Gary Sabourin	Gary Bruce Sabourin	, Ontario	1967	1977							Canadian		
Warren Rychel	Warren Stanley Rychel	London, Ontario, Canada	1987	1999	Undrafted						Canadian		
Steven Rice	Steven Rice	, Ontario	1990		20th overall	1989	New York Rangers				Canadian		
Larry Cahan	Lawrence Louis Henry Cahan	, Ontario	1953	1974									
Ben Bishop	Benjamin Manning Bishop III	Denver, U.S.	2008	2021	85th overall	2005	St. Louis Blues		USA				
Craig Simpson	Craig Andrew Simpson	, Ontario	1985	1996	2nd overall	1985	Pittsburgh Penguins	National Hockey League			Canadian		
Daryl Reaugh	Daryl Kevin &quot;Razor&quot; Reaugh	Prince George, British Columbia, Canada	1984	1993	42nd overall	1984	Edmonton Oilers	National Hockey League					
Markus Pöttinger	Markus Pöttinger	Munich, West Germany	1995	2006							German		
C. J. Young	Carl Joshua Young	, Massachusetts	1990	1993	[[1989 NHL Supplemental Draft]]		New Jersey Devils		USA		American		
Stefan Grogg	[[National League A|NLA]]	Langenthal, Switzerland	1993	2007					Switzerland		Swiss		
Anthony Angello	Anthony Angello	Albany, New York, U.S.	2018	2025	145th overall	2014	Pittsburgh Penguins				American		
Vilen Prokofyev	Vilen Prokofyev	, Satpayev (city)	2017	2020									
Kristián Pospíšil	Kristián Pospíšil	Zvolen, Slovakia	2013		Undrafted			Czech Extraliga	SVK	HC Kometa Brno	Slovak		
Maxim Letunov	Maxim &quot;Max&quot; Vladimirovich Letunov	Moscow, Russia	2018		52nd overall	2014	St. Louis Blues	KHL		Torpedo Nizhny Novgorod	Russian		
Alexander True	Alexander True	Copenhagen, Denmark	2017		Undrafted			Liiga	DEN	JYP Jyväskylä	Danish		
Jake Evans (ice hockey)	Jake Evans	Toronto, Canada	2018		207th overall	2014	Montreal Canadiens	National Hockey League		Montreal Canadiens	Canadian		
Viktor Ekbom	Viktor Ekbom	Falköping, Sweden	2008	2022	181st overall	2009	Pittsburgh Penguins						
Anton Persson (ice hockey)	Anton Persson	Gävle, Sweden	2007					Norwegian First Division (ice hockey)		Tønsberg Vikings	Swedish		
Robert Slaney (ice hockey)	Robert Slaney	Upper Island Cove, Newfoundland, Canada	2009	2015	Undrafted						Canadian		
Vladimir Tarasenko	Vladimir Andreyevich Tarasenko	Yaroslavl, Russian Soviet Federative Socialist Republic	2010		16th overall	2010	St. Louis Blues	National Hockey League	RUS	Minnesota Wild	Russian		
Kirill Kabanov	Kirill Sergeyevich Kabanov	Moscow, Russia	2008		65th overall	2010	New York Islanders	Metal Ligaen		Aalborg Pirates	Russian		
Patrick Cehlin	Patrick Cehlin	Stockholm, Sweden	2009		126th overall	2010	Nashville Predators	Swedish Hockey League	SWE	Free Agent	Swedish		
Brian Strait	Brian James Strait	, Massachusetts	2009	2019	65th overall	2006	Pittsburgh Penguins				American		
Brett Connolly	Brett Connolly	, British Columbia	2011		6th overall	2010	Tampa Bay Lightning			Free Agent	Canadian		
Nick Palmieri	Nicholas Palmieri	Utica, New York, U.S.	2008	2017	79th overall	2007	New Jersey Devils		USA		American		
Józef Wiśniewski	Józef Wiśniewski	, Kuyavian-Pomeranian Voivodeship	1963	1966					Poland				
Henryk Przeździecki	Henryk Przeździecki	Warsaw, Russian Empire	1931						Poland				
Józef Stogowski	Józef Bronisław Stogowski	Toruń, German Empire (Prussian Partition	1927	1937					POL				
Stanisław Szlendak	Stanisław Szlendak	Krynica-Zdrój, Second Polish Republic	1934						Poland				
Władysław Pabisz	Władysław Pabisz	Nowy Sącz, Second Polish Republic	1948	1967					POL				
Dariusz Garbocz	Dariusz Garbocz	Katowice, Poland	1989	2001					Poland				
Jan Maciejko	Jan Wincenty Maciejko	Tarnów, Austria-Hungary	1926	1951					POL				
Jake Leschyshyn	Jake Leschyshyn	Raleigh, North Carolina, U.S.	2019		62nd overall	2017	Vegas Golden Knights	National Hockey League		Buffalo Sabres	American		
Lenka Serdar	Lenka Slezak Serdar	Lexington, Massachusetts, US	2015					Premier Hockey Federation	CZE	Connecticut Whale (PHF)	Czech		f
Jasper Weatherby	Jasper Weatherby	Portland, Oregon, US	2021		102nd overall	2018	San Jose Sharks			Free agent	American		
Max Willman	Maxwell Willman	Barnstable, Massachusetts, U.S.	2021		121st overall	2014	Buffalo Sabres			Free agent	American		
Aleksandr Kisakov	Aleksandr Kisakov	Solikamsk, Russia	2021		53rd overall	2021	Buffalo Sabres	Kontinental Hockey League		HC Dynamo Moscow	Russian		
David Longstaff	David Longstaff	Whitley Bay, England	1989	2019				National Ice Hockey League	GBR	Whitley Warriors	British		
Martin Schröttle	Martin Schröttle												
Marquardt Slevogt	Friedrich Marquardt Slevogt												
Georg Strobl	Georg Strobl												
Maxwell Deacon	Maxwell Arnold Deacon	Port Arthur, Ontario, Canada							CAN				
Hugh Farquharson	Hugh Miller Farquharson												
Matt Compton	Matt Compton	Chester, England	2000					English National Ice Hockey League		Flintshire Freeze	English		
James Haggarty	James Timothy Haggarty	Port Arthur, Ontario, Canada	1934	1950					CAN				
Jason Wolfe (ice hockey)	Jason Wolfe	, Maryland	1998	2009				Central Hockey League		New Mexico Scorpions			
Walter Kitchen	Walter Lawrence &quot;Pud&quot; Kitchen	Toronto, Canada	1929	1936					CAN				
Raymond Milton	Raymond Bernard Milton	Stouffville, Canada							CAN				
Francis Moore (ice hockey)	Francis William &quot;Dinty&quot; Moore												
Herman Murray	Herman Edward Murray	Montreal, Canada	1930	1940					CAN				
Arthur Nash (ice hockey)	Arthur Lawrence	Thunder Bay, Canada	1931	1951					CAN				
David Neville (ice hockey)	David John Neville	, Ontario	1929	1939					CAN				
Alexander Sinclair	Alexander George Sinclair												
Ralph St. Germain	Ralph Emerson St. Germain												
David Vychodil	David Vychodil	Czechoslovakia, Czechoslovakia	2000	2016							Czech		
Craig Sarner	Craig Brian Sarner	Saint Paul, Minnesota, U.S.A.	1972	1981	''Undrafted''				USA				
Wally Olds	Walter Raymond Olds	, Minnesota	1971	1982	57th overall	1969	Detroit Red Wings		USA				
Dick McGlynn	Richard Anthony McGlynn	Medford, Massachusetts, U.S.											
Roy Halpin	Roy Andrew Halpin	Quebec City, Canada	1980	1985							Canadian		
Alex Pirus	Joseph Alexander Pirus	Toronto, Canada	1976	1981	41st overall	1975	Minnesota North Stars				Canadian		
Alfred Heinrich (ice hockey)	Alfred Heinrich	Berlin, German Empire											
Erich Herker	Erich Otto Friedrich Herker												
Werner Korff	Werner Korff												
Walter Leinweber	Walter Leinweber												
Erich Römer	Erich Römer												
Joy Dunne	Joy Dunne	St. Louis, United States						college ice hockey		Ohio State Buckeyes women's ice hockey	American		f
Izzy Daniel	Isabel Grace Daniel	Minneapolis, U.S.	2019					Professional Women's Hockey League		PWHL Vancouver	American		f
Johannes Johannesen	Johannes Johannesen	Stavanger, Norway	2013					HockeyAllsvenskan	NOR	Västerviks IK	Norwegian		
Drake Caggiula	Drake Caggiula	Pickering, Ontario, Canada	2016		Undrafted			National League (ice hockey)		Lausanne HC	Canadian		
Mario Simioni	Mario Simioni	Toronto, Canada	1983	2000	99th overall	1981	Calgary Flames		ITA		Canadian		
Scott Laughton	Scott Laughton	Oakville, Ontario, Canada	2013		20th overall	2012	Philadelphia Flyers	National Hockey League	Canada	Toronto Maple Leafs	Canadian		
Mark Jankowski	Mark Jankowski	Hamilton, Ontario, Canada	2016		21st overall	2012	Calgary Flames	National Hockey League		Carolina Hurricanes	Canadian		
Mike Matheson	Michael Matheson	Pointe-Claire, Canada	2015		23rd overall	2012	Florida Panthers	National Hockey League	CAN	Montreal Canadiens	Canadian		
Brady Skjei	Brady Michael Skjei	Lakeville, Minnesota, U.S.	2015		28th overall	2012	New York Rangers	National Hockey League	USA	Nashville Predators			
Derrick Pouliot	Derrick Pouliot	Estevan, Canada	2013		8th overall	2012	Pittsburgh Penguins	National Hockey League		New York Rangers	Canadian		
Tom Wilson (ice hockey)	Thomas Wilson	Toronto, Canada	2013		16th overall	2012	Washington Capitals	National Hockey League		Washington Capitals	Canadian		
Ross Venus	Ross Venus	Birmingham, England	2010	2025				National Ice Hockey League	GBR	Milton Keynes Lightning	English		
Gary Rippingale	Gary Rippingale	,								Nottingham Panthers			
Paul Heaver	Paul Gerhard Heaver	Paddington, United Kingdom	1975	1977	98th overall	1975	Atlanta Flames				British		
Mike Hobin	Michael Patrick Hobin	Sarnia, Canada	1974	1980	209th overall	1974	Montreal Canadiens				Canadian		
Ralph Hopiavuori	Ralph Hopiavuori	Kirkland Lake, Canada	1971	1981	30th overall	1971	Toronto Maple Leafs				Canadian		
George Kuzmicz	George Kuzmicz	Montreal, Canada	1974	1976	138th overall	1972	Detroit Red Wings						
Rick Fraser (ice hockey)	Richard Fraser	Sarnia, Canada	1974	1979	173rd overall	1974	Chicago Blackhawks						
Allan Globensky	Allan Alexander Globensky	Montreal, Canada	1971	1979	77th overall	1971	Minnesota North Stars				Canadian		
Alex Nedeljkovic	Alexander Nedeljkovic	Parma, Ohio, U.S.	2015		37th overall	2014	Carolina Hurricanes	National Hockey League	USA	San Jose Sharks	American		
Rich Gosselin	Richmond &quot;Rich&quot; Gosselin	, St-Pierre-Jolys	1976	1990	118th overall	1976	Montreal Canadiens				Swiss-A League		
